code_1c,description,print_name,sku,reference,group,item_type,vat_rate,uom,hs_code
00-00003289,Upper Humerus 36/5,Upper Humerus 36/5,5031-00701,Upper Humerus 36/5,Revers Shoulder,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003290,Upper Humerus 36/10,Upper Humerus 36/10,5031-00702,Upper Humerus 36/10,Revers Shoulder,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003291,Conversion Universal,Conversion Universal,2000-00001,Conversion Universal,Revers Shoulder,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003292,Nuts MT6.7,Nuts MT6.7,1000-00001,Nuts MT6.7,Revers Shoulder,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003295,CHUNLI Hip Instrument Set N6/2,CHUNLI Hip Instrument Set N6/2,10010.6.2,CHUNLI Hip Instrument Set N6/2,CHUNLI,Հատ,Без НДС,հատ,9021
00-00003296,CHUNLI Hip Instrument Set N6/1,CHUNLI Hip Instrument Set N6/1,10010.6.1,CHUNLI Hip Instrument Set N6/1,CHUNLI,Հատ,Без НДС,հատ,9021
00-00003297,CHUNLI Hip Instrument Set N7/1,CHUNLI Hip Instrument Set N7/1,10010.7.1,CHUNLI Hip Instrument Set N7/1,CHUNLI,Հատ,Без НДС,հատ,9021
00-00003298,CHUNLI Hip Instrument Set N7/2,CHUNLI Hip Instrument Set N7/2,10010.7.2,CHUNLI Hip Instrument Set N7/2,CHUNLI,Հատ,Без НДС,հատ,9021
00-00003299,"58Liner-PE - 28/35 44# (working with cup size of 40,42,44)","58Liner-PE - 28/35 44# (working with cup size of 40,42,44)",3150-28353.1,"58Liner-PE - 28/35 44# (working with cup size of 40,42,44)",Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003300,58Liner-PE - 28/37 46# (working with cup size of 46),58Liner-PE - 28/37 46# (working with cup size of 46),3150-28373.1,58Liner-PE - 28/37 46# (working with cup size of 46),Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003301,"58Liner-PE - 32/39 48# (working with cup size of 48,50)","58Liner-PE - 32/39 48# (working with cup size of 48,50)",3150-32393.1,"58Liner-PE - 32/39 48# (working with cup size of 48,50)",Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003302,"58Liner-PE - 36/44 52# (working with cup size of 52,54)","58Liner-PE - 36/44 52# (working with cup size of 52,54)",3150-36443.1,"58Liner-PE - 36/44 52# (working with cup size of 52,54)",Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
