code_1c,description,print_name,sku,reference,group,item_type,vat_rate,uom,hs_code
00-00001147,"Spineway-VIS DE VERROUILLAGE POUR VIS MONT BLANC LOCK. SCREW , Ti","Spineway-VIS DE VERROUILLAGE POUR VIS MONT BLANC LOCK. SCREW , Ti",MB2LS,"Spineway-VIS DE VERROUILLAGE POUR VIS MONT BLANC LOCK. SCREW , Ti",Spineway,Հատ,Без НДС,հատ,9021
00-00001136,"Spineway-MONT BLANC TRANSVERSE CONNECTOR, SIZE L L:45 , Ti","Spineway-MONT BLANC TRANSVERSE CONNECTOR, SIZE L L:45 , Ti",MB2DTTL,"Spineway-MONT BLANC TRANSVERSE CONNECTOR, SIZE L L:45 , Ti",Spineway,Հատ,Без НДС,հատ,9021
00-00001146,"Spineway-Straight Rods 5.5 diametr L=500mm , Ti","Spineway-Straight Rods 5.5 diametr L=500mm , Ti",MB1R55500,"Spineway-Straight Rods 5.5 diametr L=500mm , Ti",Spineway,Հատ,Без НДС,հատ,9021
00-00001199,Distal Femur LCP 6.5mm 5h R Ti,Distal Femur LCP 6.5mm 5h R Ti,BO.163.R.05.T,Distal Femur LCP 6.5mm 5h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001209,Distal Femur LCP 6.5mm 7h R Ti,Distal Femur LCP 6.5mm 7h R Ti,BO.163.R.07.T,Distal Femur LCP 6.5mm 7h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001212,Distal Femur LCP 6.5mm 9h R Ti,Distal Femur LCP 6.5mm 9h R Ti,BO.163.R.09.T,Distal Femur LCP 6.5mm 9h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001202,Distal Femur LCP 6.5mm 11 R Ti,Distal Femur LCP 6.5mm 11 R Ti,BO.163.R.11.T,Distal Femur LCP 6.5mm 11 R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001205,Distal Femur LCP 6.5mm 13 R Ti,Distal Femur LCP 6.5mm 13 R Ti,BO.163.R.13.T,Distal Femur LCP 6.5mm 13 R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001198,Distal Femur LCP 6.5mm 5h L Ti,Distal Femur LCP 6.5mm 5h L Ti,BO.163.L.05.T,Distal Femur LCP 6.5mm 5h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001207,Distal Femur LCP 6.5mm 7h L Ti,Distal Femur LCP 6.5mm 7h L Ti,BO.163.L.07.T,Distal Femur LCP 6.5mm 7h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001210,Distal Femur LCP 6.5mm 9h L Ti,Distal Femur LCP 6.5mm 9h L Ti,BO.163.L.09.T,Distal Femur LCP 6.5mm 9h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001200,Distal Femur LCP 6.5mm 11 L Ti,Distal Femur LCP 6.5mm 11 L Ti,BO.163.L.11.T,Distal Femur LCP 6.5mm 11 L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001203,Distal Femur LCP 6.5mm 13 L Ti,Distal Femur LCP 6.5mm 13 L Ti,BO.163.L.13.T,Distal Femur LCP 6.5mm 13 L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001450,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 3h Ti,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 3h Ti,BO.02.156.03.T,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 3h Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001452,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 4h Ti,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 4h Ti,BO.02.156.04.T,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 4h Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001454,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 5h Ti,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 5h Ti,BO.02.156.05.T,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 5h Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001456,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 6h Ti,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 6h Ti,BO.02.156.06.T,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 6h Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001458,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 7h Ti,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 7h Ti,BO.02.156.07.T,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 7h Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001460,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 8h Ti,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 8h Ti,BO.02.156.08.T,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 8h Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001445,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 10h Ti,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 10h Ti,BO.02.156.10.T,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 10h Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001447,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 12h Ti,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 12h Ti,BO.02.156.12.T,Proximal Humerus LCP PHILOS (SMALL DYNAMIC HOLE) 12h Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001179,Clavicle locking  plate 4h L Ti,Clavicle locking  plate 4h L Ti,BO.9928.L.04.T,Clavicle locking  plate 4h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001180,Clavicle locking  plate 6h L Ti,Clavicle locking  plate 6h L Ti,BO.9928.L.06.T,Clavicle locking  plate 6h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001182,Clavicle locking  plate 8h L Ti,Clavicle locking  plate 8h L Ti,BO.9928.L.08.T,Clavicle locking  plate 8h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001166,Clavicle locking  plate 4h R Ti,Clavicle locking  plate 4h R Ti,BO.9928.R.04.T,Clavicle locking  plate 4h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001181,Clavicle locking  plate 6h R Ti,Clavicle locking  plate 6h R Ti,BO.9928.R.06.T,Clavicle locking  plate 6h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001183,Clavicle locking  plate 8h R Ti,Clavicle locking  plate 8h R Ti,BO.9928.R.08.T,Clavicle locking  plate 8h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001169,Clavicle locking  plate - II LCP 6h L Ti,Clavicle locking  plate - II LCP 6h L Ti,BO.01.9928.L.06.T,Clavicle locking  plate - II LCP 6h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001171,Clavicle locking  plate - II LCP 8h L Ti,Clavicle locking  plate - II LCP 8h L Ti,BO.01.9928.L.08.T,Clavicle locking  plate - II LCP 8h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001167,Clavicle locking  plate - II LCP 10h L Ti,Clavicle locking  plate - II LCP 10h L Ti,BO.01.9928.L.10.T,Clavicle locking  plate - II LCP 10h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001170,Clavicle locking  plate - II LCP 6h R Ti,Clavicle locking  plate - II LCP 6h R Ti,BO.01.9928.R.06.T,Clavicle locking  plate - II LCP 6h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001172,Clavicle locking  plate - II LCP 8h R Ti,Clavicle locking  plate - II LCP 8h R Ti,BO.01.9928.R.08.T,Clavicle locking  plate - II LCP 8h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001168,Clavicle locking  plate - II LCP 10h R Ti,Clavicle locking  plate - II LCP 10h R Ti,BO.01.9928.R.10.T,Clavicle locking  plate - II LCP 10h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001227,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 3h R Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 3h R Ti,BO.9907.R.3.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 3h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001230,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 5h R Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 5h R Ti,BO.9907.R.5.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 5h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001232,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 7h R Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 7h R Ti,BO.9907.R.7.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 7h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001224,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 11h R Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 11h R Ti,BO.9907.R.11.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 11h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001226,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 13h R Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 13h R Ti,BO.9907.R.13.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 13h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001228,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 3h R Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 3h R Ti,BO.9907.L.3.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 3h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001229,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 5h L Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 5h L Ti,BO.9907.L.5.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 5h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001231,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 7h L Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 7h L Ti,BO.9907.L.7.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 7h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001223,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 11h L Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 11h L Ti,BO.9907.L.11.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 11h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001225,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 13h L Ti,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 13h L Ti,BO.9907.L.13.T,Distal Humerus With Lateral Support LCP (2.7mm&3.5mm) 13h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001416,Medial Distal Humerus LCP (2.7mm&3.5mm) 3h R Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 3h R Ti,BO.9908.R.3.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 3h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001418,Medial Distal Humerus LCP (2.7mm&3.5mm) 5h R Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 5h R Ti,BO.9908.R.5.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 5h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001420,Medial Distal Humerus LCP (2.7mm&3.5mm) 7h R Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 7h R Ti,BO.9908.R.7.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 7h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001412,Medial Distal Humerus LCP (2.7mm&3.5mm) 11h R Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 11h R Ti,BO.9908.R.11.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 11h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001414,Medial Distal Humerus LCP (2.7mm&3.5mm) 13h R Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 13h R Ti,BO.9908.R.13.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 13h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001415,Medial Distal Humerus LCP (2.7mm&3.5mm) 3h L Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 3h L Ti,BO.9908.L.3.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 3h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001417,Medial Distal Humerus LCP (2.7mm&3.5mm) 5h L Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 5h L Ti,BO.9908.L.5.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 5h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001419,Medial Distal Humerus LCP (2.7mm&3.5mm) 7h L Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 7h L Ti,BO.9908.L.7.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 7h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001421,Medial Distal Humerus LCP (2.7mm&3.5mm) 9h L Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 9h L Ti,BO.9908.L.9.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 9h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001411,Medial Distal Humerus LCP (2.7mm&3.5mm) 11h L Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 11h L Ti,BO.9908.L.11.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 11h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001413,Medial Distal Humerus LCP (2.7mm&3.5mm) 13h L Ti,Medial Distal Humerus LCP (2.7mm&3.5mm) 13h L Ti,BO.9908.L.13.T,Medial Distal Humerus LCP (2.7mm&3.5mm) 13h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001240,Extra-Aarticular Distal Humerus Locking Plate 4h R Ti,Extra-Aarticular Distal Humerus Locking Plate 4h R Ti,BO.9941.R.4.T,Extra-Aarticular Distal Humerus Locking Plate 4h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001242,Extra-Aarticular Distal Humerus Locking Plate 6h R Ti,Extra-Aarticular Distal Humerus Locking Plate 6h R Ti,BO.9941.R.6.T,Extra-Aarticular Distal Humerus Locking Plate 6h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001244,Extra-Aarticular Distal Humerus Locking Plate 8h R Ti,Extra-Aarticular Distal Humerus Locking Plate 8h R Ti,BO.9941.R.8.T,Extra-Aarticular Distal Humerus Locking Plate 8h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001234,Extra-Aarticular Distal Humerus Locking Plate 10h R Ti,Extra-Aarticular Distal Humerus Locking Plate 10h R Ti,BO.9941.R.10.T,Extra-Aarticular Distal Humerus Locking Plate 10h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001236,Extra-Aarticular Distal Humerus Locking Plate 12h R Ti,Extra-Aarticular Distal Humerus Locking Plate 12h R Ti,BO.9941.R.12.T,Extra-Aarticular Distal Humerus Locking Plate 12h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001238,Extra-Aarticular Distal Humerus Locking Plate 14h R Ti,Extra-Aarticular Distal Humerus Locking Plate 14h R Ti,BO.9941.R.14.T,Extra-Aarticular Distal Humerus Locking Plate 14h R Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001239,Extra-Aarticular Distal Humerus Locking Plate 4h L Ti,Extra-Aarticular Distal Humerus Locking Plate 4h L Ti,BO.9941.L.4.T,Extra-Aarticular Distal Humerus Locking Plate 4h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001241,Extra-Aarticular Distal Humerus Locking Plate 6h L Ti,Extra-Aarticular Distal Humerus Locking Plate 6h L Ti,BO.9941.L.6.T,Extra-Aarticular Distal Humerus Locking Plate 6h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001243,Extra-Aarticular Distal Humerus Locking Plate 8h L Ti,Extra-Aarticular Distal Humerus Locking Plate 8h L Ti,BO.9941.L.8.T,Extra-Aarticular Distal Humerus Locking Plate 8h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001233,Extra-Aarticular Distal Humerus Locking Plate 10h L Ti,Extra-Aarticular Distal Humerus Locking Plate 10h L Ti,BO.9941.L.10.T,Extra-Aarticular Distal Humerus Locking Plate 10h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001235,Extra-Aarticular Distal Humerus Locking Plate 12h L Ti,Extra-Aarticular Distal Humerus Locking Plate 12h L Ti,BO.9941.L.12.T,Extra-Aarticular Distal Humerus Locking Plate 12h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001237,Extra-Aarticular Distal Humerus Locking Plate 14h L Ti,Extra-Aarticular Distal Humerus Locking Plate 14h L Ti,BO.9941.L.14.T,Extra-Aarticular Distal Humerus Locking Plate 14h L Ti,Plates,Հատ,Без НДС,հատ,9021
00-00001255,"Locking screw 2.4mm, 10mm Ti","Locking screw 2.4mm, 10mm Ti",BO.186.10.T,"Locking screw 2.4mm, 10mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001256,"Locking screw 2.4mm, 12mm Ti","Locking screw 2.4mm, 12mm Ti",BO.186.12.T,"Locking screw 2.4mm, 12mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001257,"Locking screw 2.4mm, 14mm Ti","Locking screw 2.4mm, 14mm Ti",BO.186.14.T,"Locking screw 2.4mm, 14mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001258,"Locking screw 2.4mm, 16mm Ti","Locking screw 2.4mm, 16mm Ti",BO.186.16.T,"Locking screw 2.4mm, 16mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001259,"Locking screw 2.4mm, 18mm Ti","Locking screw 2.4mm, 18mm Ti",BO.186.18.T,"Locking screw 2.4mm, 18mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001260,"Locking screw 2.4mm, 20mm Ti","Locking screw 2.4mm, 20mm Ti",BO.186.20.T,"Locking screw 2.4mm, 20mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001261,"Locking screw 2.4mm, 22mm Ti","Locking screw 2.4mm, 22mm Ti",BO.186.22.T,"Locking screw 2.4mm, 22mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001262,"Locking screw 2.4mm, 24mm Ti","Locking screw 2.4mm, 24mm Ti",BO.186.24.T,"Locking screw 2.4mm, 24mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001263,"Locking screw 2.4mm, 26mm Ti","Locking screw 2.4mm, 26mm Ti",BO.186.26.T,"Locking screw 2.4mm, 26mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001264,"Locking screw 2.4mm, 28mm Ti","Locking screw 2.4mm, 28mm Ti",BO.186.28.T,"Locking screw 2.4mm, 28mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001265,"Locking screw 2.4mm, 30mm Ti","Locking screw 2.4mm, 30mm Ti",BO.186.30.T,"Locking screw 2.4mm, 30mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001266,"Locking screw 2.7mm, 32mm Ti","Locking screw 2.7mm, 32mm Ti",BO.204.32.T,"Locking screw 2.7mm, 32mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001267,"Locking screw 2.7mm, 34mm Ti","Locking screw 2.7mm, 34mm Ti",BO.204.34.T,"Locking screw 2.7mm, 34mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001268,"Locking screw 2.7mm, 36mm Ti","Locking screw 2.7mm, 36mm Ti",BO.204.36.T,"Locking screw 2.7mm, 36mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001269,"Locking screw 2.7mm, 38mm Ti","Locking screw 2.7mm, 38mm Ti",BO.204.38.T,"Locking screw 2.7mm, 38mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001270,"Locking screw 2.7mm, 40mm Ti","Locking screw 2.7mm, 40mm Ti",BO.204.40.T,"Locking screw 2.7mm, 40mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001190,"Cortex screw 2.4mm, 10mm Ti","Cortex screw 2.4mm, 10mm Ti",BOI.185.10.T,"Cortex screw 2.4mm, 10mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001191,"Cortex screw 2.4mm, 12mm Ti","Cortex screw 2.4mm, 12mm Ti",BOI.185.12.T,"Cortex screw 2.4mm, 12mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001192,"Cortex screw 2.4mm, 14mm Ti","Cortex screw 2.4mm, 14mm Ti",BOI.185.14.T,"Cortex screw 2.4mm, 14mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001193,"Cortex screw 2.4mm, 16mm Ti","Cortex screw 2.4mm, 16mm Ti",BOI.185.16.T,"Cortex screw 2.4mm, 16mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001194,"Cortex screw 2.4mm, 20mm Ti","Cortex screw 2.4mm, 20mm Ti",BOI.185.20.T,"Cortex screw 2.4mm, 20mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001195,"Cortex screw 2.4mm, 22mm Ti","Cortex screw 2.4mm, 22mm Ti",BOI.185.22.T,"Cortex screw 2.4mm, 22mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001196,"Cortex screw 2.4mm, 24mm Ti","Cortex screw 2.4mm, 24mm Ti",BOI.185.24.T,"Cortex screw 2.4mm, 24mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001197,"Cortex screw 2.4mm, 26mm Ti","Cortex screw 2.4mm, 26mm Ti",BOI.185.26.T,"Cortex screw 2.4mm, 26mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001245,"Locking Cancellous Screw 5.0mm, 30mm Ti","Locking Cancellous Screw 5.0mm, 30mm Ti",BO.9930.30.T,"Locking Cancellous Screw 5.0mm, 30mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001246,"Locking Cancellous Screw 5.0mm, 35mm Ti","Locking Cancellous Screw 5.0mm, 35mm Ti",BO.9930.35.T,"Locking Cancellous Screw 5.0mm, 35mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001247,"Locking Cancellous Screw 5.0mm, 40mm Ti","Locking Cancellous Screw 5.0mm, 40mm Ti",BO.9930.40.T,"Locking Cancellous Screw 5.0mm, 40mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001248,"Locking Cancellous Screw 5.0mm, 45mm Ti","Locking Cancellous Screw 5.0mm, 45mm Ti",BO.9930.45.T,"Locking Cancellous Screw 5.0mm, 45mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001249,"Locking Cancellous Screw 5.0mm, 50mm Ti","Locking Cancellous Screw 5.0mm, 50mm Ti",BO.9930.50.T,"Locking Cancellous Screw 5.0mm, 50mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001250,"Locking Cancellous Screw 5.0mm, 55mm Ti","Locking Cancellous Screw 5.0mm, 55mm Ti",BO.9930.55.T,"Locking Cancellous Screw 5.0mm, 55mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001251,"Locking Cancellous Screw 5.0mm, 60mm Ti","Locking Cancellous Screw 5.0mm, 60mm Ti",BO.9930.60.T,"Locking Cancellous Screw 5.0mm, 60mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001252,"Locking Cancellous Screw 5.0mm, 65mm Ti","Locking Cancellous Screw 5.0mm, 65mm Ti",BO.9930.65.T,"Locking Cancellous Screw 5.0mm, 65mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001253,"Locking Cancellous Screw 5.0mm, 70mm Ti","Locking Cancellous Screw 5.0mm, 70mm Ti",BO.9930.70.T,"Locking Cancellous Screw 5.0mm, 70mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001254,"Locking Cancellous Screw 5.0mm, 80mm Ti","Locking Cancellous Screw 5.0mm, 80mm Ti",BO.9930.80.T,"Locking Cancellous Screw 5.0mm, 80mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001379,"Locking Screw Dia 6.5mm, 55mm Ti","Locking Screw Dia 6.5mm, 55mm Ti",BO.171.55.T,"Locking Screw Dia 6.5mm, 55mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001380,"Locking Screw Dia 6.5mm, 60mm Ti","Locking Screw Dia 6.5mm, 60mm Ti",BO.171.60.T,"Locking Screw Dia 6.5mm, 60mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001381,"Locking Screw Dia 6.5mm, 65mm Ti","Locking Screw Dia 6.5mm, 65mm Ti",BO.171.65.T,"Locking Screw Dia 6.5mm, 65mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001382,"Locking Screw Dia 6.5mm, 70mm Ti","Locking Screw Dia 6.5mm, 70mm Ti",BO.171.70.T,"Locking Screw Dia 6.5mm, 70mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001383,"Locking Screw Dia 6.5mm, 75mm Ti","Locking Screw Dia 6.5mm, 75mm Ti",BO.171.75.T,"Locking Screw Dia 6.5mm, 75mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001271,"Locking Screw 3.5mm, 10mm Ti","Locking Screw 3.5mm, 10mm Ti",BO.168.10.T,"Locking Screw 3.5mm, 10mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001272,"Locking Screw 3.5mm, 12mm Ti","Locking Screw 3.5mm, 12mm Ti",BO.168.12.T,"Locking Screw 3.5mm, 12mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001273,"Locking Screw 3.5mm, 14mm Ti","Locking Screw 3.5mm, 14mm Ti",BO.168.14.T,"Locking Screw 3.5mm, 14mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001274,"Locking Screw 3.5mm, 16mm Ti","Locking Screw 3.5mm, 16mm Ti",BO.168.16.T,"Locking Screw 3.5mm, 16mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001275,"Locking Screw 3.5mm, 18mm Ti","Locking Screw 3.5mm, 18mm Ti",BO.168.18.T,"Locking Screw 3.5mm, 18mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001276,"Locking Screw 3.5mm, 20mm Ti","Locking Screw 3.5mm, 20mm Ti",BO.168.20.T,"Locking Screw 3.5mm, 20mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001277,"Locking Screw 3.5mm, 22mm Ti","Locking Screw 3.5mm, 22mm Ti",BO.168.22.T,"Locking Screw 3.5mm, 22mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001278,"Locking Screw 3.5mm, 24mm Ti","Locking Screw 3.5mm, 24mm Ti",BO.168.24.T,"Locking Screw 3.5mm, 24mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001279,"Locking Screw 3.5mm, 26mm Ti","Locking Screw 3.5mm, 26mm Ti",BO.168.26.T,"Locking Screw 3.5mm, 26mm Ti",Screws,Հատ,Без НДС,հատ,9021
00-00001280,"Locking Screw 3.5mm, 28mm Ti","Locking Screw 3.5mm, 28mm Ti",BO.168.28.T,"Locking Screw 3.5mm, 28mm Ti",Screws,Հատ,Без НДС,հատ,9021
