sku,retail_price,purchase_price
BO.9949.43,1000.0,
BO.9949.45,1000.0,
BO.9949.47,1000.0,
BO.9949.49,1000.0,
BO.9949.51,1000.0,
BO.9949.53,1000.0,
BO.9949.55,1000.0,
BMK-VP,9000.0,
KB25,23000.0,
BO19-10,90000.0,
BOI.9938.3.0.T,35000.0,
BOI.9938.3.5.T,35000.0,
BOI.9938.4.0.T,35000.0,
3010261011B,270000.0,
3010262005B,270000.0,
3010262007B,270000.0,
3010262009B,270000.0,
BOI.216.13.S,3000.0,
BOI.216.13.13S,1000.0,
BOI.216.13.13T,1000.0,
BOI.237.16.16G,1000.0,
BOI.237.18.18G,1000.0,
BOI.237.20.20G,1000.0,
BOI.237.22.22G,1000.0,
BOI.237.24.24G,1000.0,
BOI.237.26.26G,1000.0,
BOI.216.07.7S,1000.0,
BOI.216.07.7T,1000.0,
BO.06.710.25.S,1000.0,
BOI.205.10,1000.0,
BOI.205.12,1000.0,
BOI.205.16,1000.0,
BOI.205.6,220000.0,
BOI.205.8,1000.0,
BOI.141.10.S,1000.0,
BOI.141.11.S,1000.0,
BOI.141.12.S,1000.0,
BOI.141.14.S,1000.0,
BOI.141.04.S,1000.0,
BOI.141.05.S,1000.0,
BOI.141.06.S,1000.0,
BOI.141.07.S,1000.0,
BOI.141.08.S,1000.0,
BOI.141.09.S,1000.0,
BOI.118.70.S,1000.0,
BOI.118.80.S,1000.0,
BOI.118.100.S,1000.0,
BOI.118.105.S,1000.0,
BOI.118.110.S,1000.0,
BOI.118.60.S,1000.0,
BOI.118.65.S,1000.0,
BOI.118.75.S,1000.0,
BOI.118.85.S,1000.0,
BOI.118.90.S,1000.0,
BOI.118.95.S,1000.0,
BOI.139.130.10.S,1000.0,
BOI.139.130.11.S,1000.0,
BOI.139.130.12.S,1000.0,
BOI.139.130.14.S,1000.0,
BOI.139.130.03.S,1000.0,
BOI.139.130.04.S,1000.0,
BOI.139.130.05.S,1000.0,
BOI.139.130.06.S,1000.0,
BOI.139.130.07.S,1000.0,
BOI.139.130.08.S,1000.0,
BOI.139.130.09.S,1000.0,
BOI.152.36.S,1000.0,
BOI.152.36.T,1000.0,
BOI.152.40.S,1000.0,
BOI.152.40.T,1000.0,
BOI.152.46.S,1000.0,
BOI.152.46.T,1000.0,
BOI.152.50.S,1000.0,
BOI.152.50.T,1000.0,
BOI.152.56.S,1000.0,
BOI.152.56.T,1000.0,
BOI.152.60.S,1000.0,
BOI.152.60.T,1000.0,
BOI.152.66.S,1000.0,
BOI.152.66.T,1000.0,
BOI.152.72.S,1000.0,
BOI.152.72.T,1000.0,
BOI.06.151.10.32.S,1000.0,
BOI.06.151.10.34.S,1000.0,
BOI.06.151.10.36.S,1000.0,
BOI.06.151.10.38.S,1000.0,
BOI.06.151.10.40.S,1000.0,
BOI.06.151.10.42.S,1000.0,
BOI.06.151.11.32.S,1000.0,
BOI.06.151.11.34.S,1000.0,
BOI.06.151.11.36.S,1000.0,
BOI.06.151.11.38.S,1000.0,
BOI.06.151.11.40.S,1000.0,
BOI.06.151.11.42.S,1000.0,
BOI.06.151.09.32.S,1000.0,
BOI.06.151.09.34.S,1000.0,
BOI.06.151.09.36.S,1000.0,
BOI.06.151.09.38.S,1000.0,
BOI.06.151.09.40.S,1000.0,
BOI.06.151.09.42.S,1000.0,
BOI.06.151.10.32.T,1000.0,
BOI.06.151.10.34.T,1000.0,
BOI.06.151.10.36.T,1000.0,
BOI.06.151.10.38.T,1000.0,
BOI.06.151.10.40.T,1000.0,
BOI.06.151.10.42.T,1000.0,
BOI.06.151.11.32.T,1000.0,
BOI.06.151.11.34.T,1000.0,
BOI.06.151.11.36.T,1000.0,
BOI.06.151.11.38.T,1000.0,
BOI.06.151.11.40.T,1000.0,
BOI.06.151.11.42.T,1000.0,
BOI.06.151.09.32.T,1000.0,
BOI.06.151.09.34.T,1000.0,
BOI.06.151.09.36.T,1000.0,
BOI.06.151.09.38.T,1000.0,
BOI.06.151.09.40.T,1000.0,
BOI.06.151.09.42.T,1000.0,
BOI.161.1.0.300.S,1000.0,
BOI.161.1.2.300.S,1000.0,
BOI.161.1.5.300.S,1000.0,
BOI.161.1.8.300.S,1000.0,
BOI.161.2.0.300.S,1000.0,
BOI.161.2.5.300.S,1000.0,
BOI.161.3.0.300.S,1000.0,
BOI.134.11,250000.0,
BOI.134.12,250000.0,
BOI.134.13,250000.0,
BOI.134.14,250000.0,
BOI.203.04.S,1000.0,
BOI.203.06.S,220000.0,
BOI.203.08.S,1000.0,
BOI.251.31,400000.0,
BOI.251.33,400000.0,
BOI.251.35,400000.0,
BOI.251.37,1000.0,
BOI.251.39,1000.0,
BOI.251.41,1000.0,
BOI.125.10,1000.0,
BOI.125.11,170000.0,
BOI.125.12,1000.0,
BOI.125.15,1000.0,
BOI.125.16,1000.0,
BOI.125.5,170000.0,
BOI.125.7,1000.0,
BOI.125.9,1000.0,
BOI.205.10.S,1000.0,
BOI.206.12.S,1000.0,
BOI.206.14.S,1000.0,
BOI.206.16.S,1000.0,
BOI.206.18.S,1000.0,
BOI.206.20.S,1000.0,
BOI.205.08.S,1000.0,
BOI.217.3.0.T,60000.0,
BOI.217.5.0.T,60000.0,
BOI.01.217.5.0.T,1000.0,
BO.06.710.25.T,1000.0,
BOI.216.13.T,3000.0,
BOI.216.07.T,3000.0,
BOI.216.07.S,3000.0,
30243.1,3000.0,
3245452610,3500.0,
BM.3052180400.2.T,35000.0,
BM.3052180400.2.5.T,35000.0,
5031-00300,,369000.0
BO.167.10.T,1000.0,
BO.167.11.T,1000.0,
BO.167.12.T,1000.0,
BO.167.16.T,1000.0,
BO.167.11.S,1000.0,
BO.167.13.S,1000.0,
BO.167.15.S,1000.0,
BO.167.17.S,1000.0,
BO.167.7.S,1000.0,
BO.167.9.S,1000.0,
PC.300.30.10.1,10.0,
PC.300.30.10.2,10.0,
PC.300.30.10.3,10.0,
