code_1c,sku_ref,description,group,item_type,uom,suggested_tracking,risk_level,needs_user_review,reason,flags,approved_tracking,user_note
00-00003282,5031-00604,Glenoid 38mm-5,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003283,5031-00605,Glenoid 38mm-10,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003284,5031-00607,Glenoid 40mm-5,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003285,5031-00608,Glenoid 40mm-10,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003286,5031-00610,Glenoid 42mm-5,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003287,5031-00611,Glenoid 42mm-10,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003288,5031-00300,Broach Universal,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003289,5031-00701,Upper Humerus 36/5,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003290,5031-00702,Upper Humerus 36/10,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003291,2000-00001,Conversion Universal,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003292,1000-00001,Nuts MT6.7,Revers Shoulder,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003295,10010.6.2,CHUNLI Hip Instrument Set N6/2,CHUNLI,Հատ,հատ,REF_ONLY,HIGH,YES,Set/kit/instrument/tool is non-sterile; verify because item also looks expiry/sterile,NON_STERILE_TOOLING,,
00-00003296,10010.6.1,CHUNLI Hip Instrument Set N6/1,CHUNLI,Հատ,հատ,REF_ONLY,HIGH,YES,Set/kit/instrument/tool is non-sterile; verify because item also looks expiry/sterile,NON_STERILE_TOOLING,,
00-00003297,10010.7.1,CHUNLI Hip Instrument Set N7/1,CHUNLI,Հատ,հատ,REF_ONLY,HIGH,YES,Set/kit/instrument/tool is non-sterile; verify because item also looks expiry/sterile,NON_STERILE_TOOLING,,
00-00003298,10010.7.2,CHUNLI Hip Instrument Set N7/2,CHUNLI,Հատ,հատ,REF_ONLY,HIGH,YES,Set/kit/instrument/tool is non-sterile; verify because item also looks expiry/sterile,NON_STERILE_TOOLING,,
00-00003299,3150-28353.1,"58Liner-PE - 28/35 44# (working with cup size of 40,42,44)",Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003300,3150-28373.1,58Liner-PE - 28/37 46# (working with cup size of 46),Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003301,3150-32393.1,"58Liner-PE - 32/39 48# (working with cup size of 48,50)",Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003302,3150-36443.1,"58Liner-PE - 36/44 52# (working with cup size of 52,54)",Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003303,3150-36483.1,"58Liner-PE - 36/48 56# (working with cup size of 56,58,60)",Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003304,3150-36523.1,"58Liner-PE - 36/52 62# (working with cup size of 62,64,66)",Chunli Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003306,T040140G,GENTAFIX 1 with antibiotic,Teknimed Cement,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003307,T040140,CEMFIX 1 without antibiotic,Teknimed Cement,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003308,T804405,Ceraform Granules 3x3x3mm 10cc,Teknimed Cement,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003309,4209.1140,Long PFNA right 11*400mm Ti,PFNA,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00003310,4114.3534,3.5mm Lockable Screw 3.5*34mm S.S,ZMD Screws,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00003311,2201.3560,"ZM Locking screw 3.5mm, 60mm Ti",ZMD Screws,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00003312,2201.3570,"ZM Locking screw 3.5mm, 70mm Ti",ZMD Screws,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00003313,1113.0306,LC‐DCP Femoral Plate 6h S.S,ZMD Plates,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003314,1113.0212,LC‐DCP for Tibia plate 12h S.S,ZMD Plates,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003315,1113.0214,LC‐DCP for Tibia plate 14h S.S,ZMD Plates,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003316,30248.2.0.250,"ZM K-wire, 2.0/250mm SS",ZMD Wire,Հատ,հատ,REF_ONLY,MEDIUM,NO,No sterile indicators matched,,,
00-00003317,54588E,"GKS PRIME FLEX: PS UHMWPE Insert, Size 7-10 / B-C - 09mm E",Permedica - Knee,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003318,54589E,"GKS PRIME FLEX: PS UHMWPE Insert, Size 7-10 / B-C - 11mm E",Permedica - Knee,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00003319,3010051012,Proximal Medial Tibial T-Locking Plate 12 H Left,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003320,3010052012,Proximal Medial Tibial T-Locking Plate 12 H Right,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003321,3010262013,Distal Lateral Tibial Locking Plate RIGHT 13holes,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003322,3010460004,"Proximal Humeral Locking Plate, 4 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003323,3010460005,"Proximal Humeral Locking Plate, 5 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003324,3010460006,"Proximal Humeral Locking Plate, 6 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003325,3010460007,"Proximal Humeral Locking Plate, 7 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003326,3010460008,"Proximal Humeral Locking Plate, 8 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00003327,3010460009,"Proximal Humeral Locking Plate, 9 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
,3010040007,"Narrow Limited Contact Locking Plate, 7 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
,3010040009,"Narrow Limited Contact Locking Plate, 9 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
,3010040011,"Narrow Limited Contact Locking Plate, 11 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
,3010040013,"Narrow Limited Contact Locking Plate, 13 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
,3010040015,"Narrow Limited Contact Locking Plate, 15 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
,3245070000,"GSSⅢ Locking Nut(5.5/6.0mm system), Φ9.4mm",Boneunion,Հատ,հատ,REF_ONLY,MEDIUM,NO,No sterile indicators matched,,,
,3051010320,"Distal Femoral Nail, Φ9×320mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051010340,"Distal Femoral Nail, Φ9×340mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051010360,"Distal Femoral Nail, Φ9×360mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051010380,"Distal Femoral Nail, Φ9×380mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051010400,"Distal Femoral Nail, Φ9×400mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051020280,Distal Femoral Nail Φ10×280mm,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051020300,Distal Femoral Nail Φ10×300mm,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051020320,"Distal Femoral Nail, Φ10×320mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051020340,"Distal Femoral Nail, Φ10×340mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051020360,"Distal Femoral Nail, Φ10×360mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051020380,"Distal Femoral Nail, Φ10×380mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051020400,"Distal Femoral Nail, Φ10×400mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051030280,Distal Femoral Nail Φ11×280mm,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051030300,Distal Femoral Nail Φ11×300mm,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051030320,"Distal Femoral Nail, Φ11×320mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051030340,"Distal Femoral Nail, Φ11×340mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051030360,"Distal Femoral Nail, Φ11×360mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051030380,"Distal Femoral Nail, Φ11×380mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051030400,"Distal Femoral Nail, Φ11×400mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051060050,"Spiral Blade for Distal Femoral Nail, Φ12.5×50mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051060055,"Spiral Blade for Distal Femoral Nail, Φ12.5×55mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051060060,"Spiral Blade for Distal Femoral Nail, Φ12.5×60mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051060065,"Spiral Blade for Distal Femoral Nail, Φ12.5×65mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051060070,"Spiral Blade for Distal Femoral Nail, Φ12.5×70mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051060075,"Spiral Blade for Distal Femoral Nail, Φ12.5×75mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051060080,"Spiral Blade for Distal Femoral Nail, Φ12.5×80mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051060085,"Spiral Blade for Distal Femoral Nail, Φ12.5×85mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051060090,"Spiral Blade for Distal Femoral Nail, Φ12.5×90mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050040,"6.0mm Locking Screw for Distal Femoral Nail, 40mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050045,"6.0mm Locking Screw for Distal Femoral Nail, 45mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050050,"6.0mm Locking Screw for Distal Femoral Nail, 50mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050055,"6.0mm Locking Screw for Distal Femoral Nail, 55mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050060,"6.0mm Locking Screw for Distal Femoral Nail, 60mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050065,"6.0mm Locking Screw for Distal Femoral Nail, 65mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050070,"6.0mm Locking Screw for Distal Femoral Nail, 70mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050075,"6.0mm Locking Screw for Distal Femoral Nail, 75mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050080,"6.0mm Locking Screw for Distal Femoral Nail, 80mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050085,"6.0mm Locking Screw for Distal Femoral Nail, 85mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051050090,"6.0mm Locking Screw for Distal Femoral Nail, 90mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051070000,End Cap for Distal Femoral Nail,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3051070001,"End Cap for Distal Femoral Nail, long",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,3050520240,"Suprapatellar Tibial Nail, Φ10×240mm",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
,4804200001,Distal Femoral Nail Instrument Set,Boneunion,Հատ,հատ,REF_ONLY,HIGH,YES,Set/kit/instrument/tool is non-sterile; verify because item also looks expiry/sterile,NON_STERILE_TOOLING,,
,4702000400,Specific instruments for  GSSⅢ Polyaxial Reduction Screw,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
,4702000300,"GSSⅢ Reduction Forceps with Knob, 5.5/6.0",Boneunion,Հատ,հատ,REF_ONLY,MEDIUM,NO,No sterile indicators matched,,,
,4701200900,Screwdriver for GSS Ⅲ Locking Nut,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,Set/kit/instrument/tool is non-sterile,NON_STERILE_TOOLING,,
,4701200600,Screwdriver for GSSⅢ Polyaxial Reduction Screw,Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,Set/kit/instrument/tool is non-sterile,NON_STERILE_TOOLING,,
,3010261015,"Distal Lateral Tibial Locking Plate, left, 15 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
,3010262015,"Distal Lateral Tibial Locking Plate, right, 15 Holes",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
,3245094031,"GSSⅢ Polyaxial Reduction Screw,φ4.0×31mm(5.5 system)",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
,3245094531,"GSSⅢ Polyaxial Reduction Screw,φ4.5×31mm(5.5 system)",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
,3245095031,"GSSⅢ Polyaxial Reduction Screw,φ5.0×31mm(5.5 system)",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
,3245095041,"GSSⅢ Polyaxial Reduction Screw,φ5.0×41mm(5.5 system)",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
,3245095541,"GSSⅢ Polyaxial Reduction Screw,φ5.5×41mm(5.5 system)",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
,3245095546,"GSSⅢ Polyaxial Reduction Screw,φ5.5×46mm(5.5 system)",Boneunion,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
