code_1c,sku_ref,description,group,item_type,uom,suggested_tracking,risk_level,needs_user_review,reason,flags,approved_tracking,user_note
00-00001029,BOI.03.155.41.S,AUSTIN MOORE HIP PROSTHESIS . XL 41,MOORE,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001036,BOI.03.155.43.S,AUSTIN MOORE HIP PROSTHESIS . XL 43,MOORE,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001035,BOI.03.155.45.S,AUSTIN MOORE HIP PROSTHESIS . XL 45,MOORE,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001034,BOI.03.155.47.S,AUSTIN MOORE HIP PROSTHESIS . XL 47,MOORE,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001033,BOI.03.155.49.S,AUSTIN MOORE HIP PROSTHESIS . XL 49,MOORE,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001032,BOI.03.155.51.S,AUSTIN MOORE HIP PROSTHESIS . XL 51,MOORE,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001031,BOI.03.155.53.S,AUSTIN MOORE HIP PROSTHESIS . XL 53,MOORE,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001030,BOI.03.155.55.S,AUSTIN MOORE HIP PROSTHESIS . XL 55,MOORE,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001074,BO.9949.37,BIPOLAR FIX (NF)- 37,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001073,BO.9949.39,BIPOLAR FIX (NF)- 39,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001072,BO.9949.41,BIPOLAR FIX (NF)- 41,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001071,BO.9949.43,BIPOLAR FIX (NF)- 43,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001070,BO.9949.45,BIPOLAR FIX (NF)- 45,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001069,BO.9949.47,BIPOLAR FIX (NF)- 47,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001068,BO.9949.49,BIPOLAR FIX (NF)- 49,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001067,BO.9949.51,BIPOLAR FIX (NF)- 51,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001066,BO.9949.53,BIPOLAR FIX (NF)- 53,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001065,BO.9949.55,BIPOLAR FIX (NF)- 55,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001064,BO.995002.37,MODULAR BIPOLAR CUP MEDIUM- 37,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001062,BO.995002.39,MODULAR BIPOLAR CUP MEDIUM- 39,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001060,BO.995002.41,MODULAR BIPOLAR CUP MEDIUM- 41,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001058,BO.995002.43,MODULAR BIPOLAR CUP MEDIUM- 43,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001056,BO.995002.45,MODULAR BIPOLAR CUP MEDIUM- 45,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001054,BO.995002.47,MODULAR BIPOLAR CUP MEDIUM- 47,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001052,BO.995002.49,MODULAR BIPOLAR CUP MEDIUM- 49,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001050,BO.995002.51,MODULAR BIPOLAR CUP MEDIUM- 51,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001048,BO.995002.53,MODULAR BIPOLAR CUP MEDIUM- 53,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001047,BO.995002.55,MODULAR BIPOLAR CUP MEDIUM- 55,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001063,"BO.995002.37 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 37",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001061,"BO.995002.39 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 39",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001059,"BO.995002.41 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 41",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001057,"BO.995002.43 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 43",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001055,"BO.995002.45 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 45",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001053,"BO.995002.47 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 47",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001051,"BO.995002.49 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 49",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001049,"BO.995002.51 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 51",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001040,"BO.995002.53 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 53",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001046,"BO.995002.55 -0,5","MODULAR BIPOLAR CUP MEDIUM - 0,5mm- 55",Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001045,BO.995101,MODULAR BIPOLAR STEM- S,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001044,BO.995102,MODULAR BIPOLAR STEM- M,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001043,BO.995103,MODULAR BIPOLAR STEM- L,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001042,BO.995104,MODULAR BIPOLAR STEM- XL,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001041,BO.995105,MODULAR BIPOLAR STEM- XXL,Bombay Hip,Ժամկետով ապրանքներ,հատ,BATCH_EXPIRY,MEDIUM,NO,1C item_type says expiry-controlled and no non-sterile override matched,EXPIRY_ITEM_TYPE,,
00-00001129,BOI.149.06.18.S,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  18 cm ) SS , 180mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001127,BOI.149.06.20.S,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  20 cm ) SS , 200mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001125,BOI.149.06.22.S,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  22 cm ) SS , 220mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001123,BOI.149.06.24.S,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  24 cm ) SS , 240mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001121,BOI.149.06.26.S,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  26 cm ) SS , 260mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001119,BOI.149.06.28.S,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  28 cm ) SS , 280mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001117,BOI.149.07.18.S,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  18 cm ) SS , 180mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001115,BOI.149.07.20.S,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  20 cm ) SS , 200mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001113,BOI.149.07.22.S,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  22 cm ) SS , 220mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001111,BOI.149.07.24.S,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  24 cm ) SS , 240mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001109,BOI.149.07.26.S,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  26 cm ) SS , 260mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001107,BOI.149.07.28.S,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  28 cm ) SS , 280mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001105,BOI.149.08.18.S,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  18 cm ) SS , 180mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001103,BOI.149.08.20.S,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  20 cm ) SS , 200mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001101,BOI.149.08.22.S,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  22 cm ) SS , 220mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001099,BOI.149.08.24.S,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  24 cm ) SS , 240mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001097,BOI.149.08.26.S,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  26 cm ) SS , 260mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001095,BOI.149.08.28.S,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  28 cm ) SS , 280mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001093,BOI.01.233.24.S,"HUMERUS INTERLOCKING BOLT  3.1 mm  SS , 24mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001091,BOI.01.233.26.S,"HUMERUS INTERLOCKING BOLT  3.1 mm  SS , 26mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001089,BOI.01.233.28.S,"HUMERUS INTERLOCKING BOLT  3.1 mm  SS , 28mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001087,BOI.01.233.32.S,"HUMERUS INTERLOCKING BOLT  3.1 mm  SS , 32mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001085,BOI.01.233.36.S,"HUMERUS INTERLOCKING BOLT  3.1 mm  SS , 36mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001083,BOI.01.233.40.S,"HUMERUS INTERLOCKING BOLT  3.1 mm  SS , 40mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001081,BOI.01.233.45.S,"HUMERUS INTERLOCKING BOLT  3.1 mm  SS , 45mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001076,BOI.01.233.50.S,"HUMERUS INTERLOCKING BOLT  3.1 mm  SS , 50mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001078,BO.710.042.S,"End cup for HUMERUS INTERLOCKING NAIL S.S. ,",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001128,BOI.149.06.18.T,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  18 cm ) TT , 180mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001126,BOI.149.06.20.T,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  20 cm ) TT , 200mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001124,BOI.149.06.22.T,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  22 cm ) TT , 220mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001122,BOI.149.06.24.T,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  24 cm ) TT , 240mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001120,BOI.149.06.26.T,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  26 cm ) TT , 260mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001118,BOI.149.06.28.T,"HUMERUS INTERLOCKING NAIL  Dia -  6 mm, (Length -  28 cm ) TT , 280mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001116,BOI.149.07.18.T,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  18 cm ) TT , 180mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001114,BOI.149.07.20.T,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  20 cm ) TT , 200mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001112,BOI.149.07.22.T,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  22 cm ) TT , 220mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001110,BOI.149.07.24.T,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  24 cm ) TT , 240mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001108,BOI.149.07.26.T,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  26 cm ) TT , 260mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001106,BOI.149.07.28.T,"HUMERUS INTERLOCKING NAIL  Dia -  7 mm, (Length -  28 cm ) TT , 280mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001104,BOI.149.08.18.T,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  18 cm ) TT , 180mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001102,BOI.149.08.20.T,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  20 cm ) TT , 200mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001100,BOI.149.08.22.T,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  22 cm ) TT , 220mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001098,BOI.149.08.24.T,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  24 cm ) TT , 240mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001096,BOI.149.08.26.T,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  26 cm ) TT , 260mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001094,BOI.149.08.28.T,"HUMERUS INTERLOCKING NAIL  Dia -  8 mm, (Length -  28 cm ) TT , 280mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001092,BOI.01.233.24.T,"HUMERUS INTERLOCKING BOLT  3.1 mm  TT , 24mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001090,BOI.01.233.26.T,"HUMERUS INTERLOCKING BOLT  3.1 mm  TT , 26mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001088,BOI.01.233.28.T,"HUMERUS INTERLOCKING BOLT  3.1 mm  TT , 28mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001086,BOI.01.233.32.T,"HUMERUS INTERLOCKING BOLT  3.1 mm  TT , 32mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001084,BOI.01.233.36.T,"HUMERUS INTERLOCKING BOLT  3.1 mm  TT , 36mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001082,BOI.01.233.40.T,"HUMERUS INTERLOCKING BOLT  3.1 mm  TT , 40mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001080,BOI.01.233.45.T,"HUMERUS INTERLOCKING BOLT  3.1 mm  TT , 45mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001079,BOI.01.233.50.T,"HUMERUS INTERLOCKING BOLT  3.1 mm  TT , 50mm",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001077,BO.710.042.T,"End cup for HUMERUS INTERLOCKING NAIL TT ,",Humeral nail,Հատ,հատ,REF_ONLY,LOW,NO,All nails are non-sterile REF-only,NAIL,,
00-00001137,MB1PS535,"Spineway-Polyaxial Pedicle screws, 5x35 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001131,MB1PSS440,"Spineway-Polyaxial screws, Traction & 3D+ 4x40 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001138,MB1PSS540,"Spineway-Polyaxial screws, Traction & 3D+ 5x40 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001139,MB1PSS545,"Spineway-Polyaxial screws, Traction & 3D+ 5x45 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001140,MB1PSS550,"Spineway-Polyaxial screws, Traction & 3D+ 5x50 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001141,MB1PSS640,"Spineway-Polyaxial screws, Traction & 3D+ 6x40 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001142,MB1PSS645,"Spineway-Polyaxial screws, Traction & 3D+ 6x45 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001143,MB1PSS650,"Spineway-Polyaxial screws, Traction & 3D+ 6x50 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001144,MB1PSS745,"Spineway-Polyaxial screws, Traction & 3D+ 7x45 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001145,MB1PSS750,"Spineway-Polyaxial screws, Traction & 3D+ 7x50 , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001133,MB1PS780,"Spineway-iliac polyaxial screw , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001134,MB1PS845,"Spineway-iliac polyaxial screw , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001135,MB1PS850,"Spineway-iliac polyaxial screw , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001132,MB1LC40,"Spineway-iliac lateral connector L:40mm , Ti",Spineway,Հատ,հատ,REF_ONLY,MEDIUM,NO,No sterile indicators matched,,,
00-00001147,MB2LS,"Spineway-VIS DE VERROUILLAGE POUR VIS MONT BLANC LOCK. SCREW , Ti",Spineway,Հատ,հատ,REF_ONLY,LOW,NO,Usual screw is non-sterile REF-only,SCREW,,
00-00001136,MB2DTTL,"Spineway-MONT BLANC TRANSVERSE CONNECTOR, SIZE L L:45 , Ti",Spineway,Հատ,հատ,REF_ONLY,MEDIUM,NO,No sterile indicators matched,,,
00-00001146,MB1R55500,"Spineway-Straight Rods 5.5 diametr L=500mm , Ti",Spineway,Հատ,հատ,REF_ONLY,MEDIUM,NO,No sterile indicators matched,,,
00-00001199,BO.163.R.05.T,Distal Femur LCP 6.5mm 5h R Ti,Plates,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00001209,BO.163.R.07.T,Distal Femur LCP 6.5mm 7h R Ti,Plates,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00001212,BO.163.R.09.T,Distal Femur LCP 6.5mm 9h R Ti,Plates,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00001202,BO.163.R.11.T,Distal Femur LCP 6.5mm 11 R Ti,Plates,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
00-00001205,BO.163.R.13.T,Distal Femur LCP 6.5mm 13 R Ti,Plates,Հատ,հատ,REF_ONLY,LOW,NO,All plates are non-sterile REF-only,PLATE,,
