GROUP 5: zmd wire (20 items)

1. 30248.08.1.2.250 - ZM K-wire, 1.2/250mm SS
2. 30248.08.250 - ZM K-wire, 0.8/250mm SS
3. 30248.1.0.230 - ZM K-wire, 1.0/230mm SS
4. 30248.1.0.300 - ZM K-wire, 1.0/300mm SS
5. 30248.1.2.300 - ZM K-wire, 1.2/300 mm SS
6. 30248.1.5.300 - ZM K-wire, 1.5/300 mm SS
7. 30248.2.0.250 - ZM K-wire, 2.0/250mm SS
8. 30248.2.0.300 - ZM K-wire, 2.0/300mm SS
9. 30248.2.5.250 - ZM K-wire, 2.5/250mm SS
10. 30248.2.5.300 - ZM K-wire, 2.5/300mm SS
11. 30248.3.0.250 - ZM K-wire, 3.0/250mm SS
12. 30248.3.0.300 - ZM K-wire, 3.0/300mm SS
13. 30248.3.5.300 - ZM K-wire, 3.5/300mm SS
14. 30248.4.0.200 - ZM K-wire, 4.0/200mm SS
15. 30248.4.0.250 - ZM K-wire, 4.0/250mm SS
16. 30248.4.0.300 - ZM K-wire, 4.0/300mm SS
17. 9000.0410 - ZM Suture Wire 5m 0.8 mm SS
18. 9000.0411 - ZM Suture Wire 5m 0.6 mm SS
19. 9000.0412 - ZM Suture Wire 5m 1.0 mm SS
20. 9000.0413 - ZM Suture Wire 5m 1.2 mm SS


GROUP 6: Zimede (162 items)

66. 50201.9*300 - Zimede, Tibial Intramedullary Nail, 9*300mm, T
67. 50201.9*320 - Zimede, Tibial Intramedullary Nail, 9*320mm, T
68. 50201.9*340 - Zimede, Tibial Intramedullary Nail, 9*340mm, T
69. 50201.9*360 - Zimede, Tibial Intramedullary Nail, 9*360mm, T
70. 50202.10*320 - Zimede, Femoral Proximal Lockable Intr. Nail, 10*320mm, S.S
71. 50202.10*340 - Zimede, Femoral Proximal Lockable Intr. Nail, 10*340mm, S.S
72. 50202.10*360 - Zimede, Femoral Proximal Lockable Intr. Nail, 10*360mm, S.S
73. 50202.10*380 - Zimede, Femoral Proximal Lockable Intr. Nail, 10*380mm, S.S
74. 50202.10*400 - Zimede, Femoral Proximal Lockable Intr. Nail, 10*400mm, S.S
75. 50202.10*420 - Zimede, Femoral Proximal Lockable Intr. Nail, 10*420mm, S.S
76. 50202.11*320 - Zimede, Femoral Proximal Lockable Intr. Nail, 11*320mm, S.S
77. 50202.11*340 - Zimede, Femoral Proximal Lockable Intr. Nail, 11*340mm, S.S
78. 50202.11*360 - Zimede, Femoral Proximal Lockable Intr. Nail, 11*360mm, S.S
79. 50202.11*380 - Zimede, Femoral Proximal Lockable Intr. Nail, 11*380mm, S.S
80. 50202.11*400 - Zimede, Femoral Proximal Lockable Intr. Nail, 11*400mm, S.S
81. 50202.11*420 - Zimede, Femoral Proximal Lockable Intr. Nail, 11*420mm, S.S
82. 50202.9*320 - Zimede, Femoral Proximal Lockable Intr. Nail, 9*320mm, S.S
83. 50202.9*340 - Zimede, Femoral Proximal Lockable Intr. Nail, 9*340mm, S.S
84. 50202.9*360 - Zimede, Femoral Proximal Lockable Intr. Nail, 9*360mm, S.S
85. 50202.9*380 - Zimede, Femoral Proximal Lockable Intr. Nail, 9*380mm, S.S
86. 50202.9*400 - Zimede, Femoral Proximal Lockable Intr. Nail, 9*400mm, S.S
87. 50202.9*420 - Zimede, Femoral Proximal Lockable Intr. Nail, 9*420mm, S.S
88. 50203.10*260 - Zimede, Femoral distal intramedullary nail, 10*260mm, S.S
89. 50203.10*280 - Zimede, Femoral distal intramedullary nail, 10*280mm, S.S
90. 50203.10*300 - Zimede, Femoral distal intramedullary nail, 10*300mm, S.S
91. 50203.9*260 - Zimede, Femoral distal intramedullary nail, 9*260mm, S.S
92. 50203.9*280 - Zimede, Femoral distal intramedullary nail, 9*280mm, S.S
93. 50203.9*300 - Zimede, Femoral distal intramedullary nail, 9*300mm, S.S
94. 50204.10*200 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 10*200mm, S.S
95. 50204.10*220 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 10*220mm, S.S
96. 50204.10*240 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 10*240mm, S.S
97. 50204.10*260 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 10*260mm, S.S
98. 50204.10*280 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 10*280mm, S.S
99. 50204.11*200 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 11*200mm, S.S
100. 50204.11*240 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 11*240mm, S.S
101. 50204.11*260 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 11*260mm, S.S
102. 50204.9*220 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 9*220mm, S.S
103. 50204.9*240 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 9*240mm, S.S
104. 50204.9*260 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 9*260mm, S.S
105. 50204.9*280 - Zimede, St. Gamma Femoral Prox. Lock. I.N., 9*280mm, S.S
106. 50206.7.5x180 - Zimede, Humeral Self-Lockable Intr. Nail, 7.5x180mm, S.S
