"name","owner","creation","modified","modified_by","docstatus","idx","uom_name","enabled","must_be_whole_number","doctype"
"Cubic Centimeter","Administrator","2026-04-19 23:12:12.848092","2026-04-19 23:12:12.848092","Administrator","0","0","Cubic Centimeter","1","0","UOM"
"Cubic Decimeter","Administrator","2026-04-19 23:12:12.849970","2026-04-19 23:12:12.849970","Administrator","0","0","Cubic Decimeter","1","0","UOM"
"Cubic Foot","Administrator","2026-04-19 23:12:12.852238","2026-04-19 23:12:12.852238","Administrator","0","0","Cubic Foot","1","0","UOM"
"Cubic Inch","Administrator","2026-04-19 23:12:12.854217","2026-04-19 23:12:12.854217","Administrator","0","0","Cubic Inch","1","0","UOM"
"Cubic Meter","Administrator","2026-04-19 23:12:12.856433","2026-04-19 23:12:12.856433","Administrator","0","0","Cubic Meter","1","0","UOM"
"Cubic Millimeter","Administrator","2026-04-19 23:12:12.858647","2026-04-19 23:12:12.858647","Administrator","0","0","Cubic Millimeter","1","0","UOM"
"Cubic Yard","Administrator","2026-04-19 23:12:12.860582","2026-04-19 23:12:12.860582","Administrator","0","0","Cubic Yard","1","0","UOM"
"Cup","Administrator","2026-04-19 23:12:12.862438","2026-04-19 23:12:12.862438","Administrator","0","0","Cup","1","0","UOM"
"Cycle/Second","Administrator","2026-04-19 23:12:12.864322","2026-04-19 23:12:12.864322","Administrator","0","0","Cycle/Second","1","0","UOM"
"Day","Administrator","2026-04-19 23:12:12.866188","2026-04-19 23:12:12.866188","Administrator","0","0","Day","1","0","UOM"
"Decigram/Litre","Administrator","2026-04-19 23:12:12.868103","2026-04-19 23:12:12.868103","Administrator","0","0","Decigram/Litre","1","0","UOM"
"Decilitre","Administrator","2026-04-19 23:12:12.870877","2026-04-19 23:12:12.870877","Administrator","0","0","Decilitre","1","0","UOM"
"Decimeter","Administrator","2026-04-19 23:12:12.872812","2026-04-19 23:12:12.872812","Administrator","0","0","Decimeter","1","0","UOM"
"Dekagram/Litre","Administrator","2026-04-19 23:12:12.875073","2026-04-19 23:12:12.875073","Administrator","0","0","Dekagram/Litre","1","0","UOM"
"Dram","Administrator","2026-04-19 23:12:12.877653","2026-04-19 23:12:12.877653","Administrator","0","0","Dram","1","0","UOM"
"Dyne","Administrator","2026-04-19 23:12:12.880061","2026-04-19 23:12:12.880061","Administrator","0","0","Dyne","1","0","UOM"
"EMU Of Charge","Administrator","2026-04-19 23:12:12.882720","2026-04-19 23:12:12.882720","Administrator","0","0","EMU Of Charge","1","0","UOM"
"EMU of current","Administrator","2026-04-19 23:12:12.884812","2026-04-19 23:12:12.884812","Administrator","0","0","EMU of current","1","0","UOM"
"Ells (UK)","Administrator","2026-04-19 23:12:12.886790","2026-04-19 23:12:12.886790","Administrator","0","0","Ells (UK)","1","0","UOM"
